"image_url","x","y"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-4.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-5.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-6.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-7.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-8.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-9.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-10.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-11.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-12.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-13.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-14.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-15.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-16.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-17.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-18.png","D","E"
